"STATION","NAME","DATE","AWND","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-24","9.17","0.07",,"0.0","0.0","76","80","71","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-25","8.95","0.00",,"0.0","0.0","75","81","69","    1",,,,,,,"    1",,,"    1",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-26","10.07","0.00",,"0.0","0.0","76","82","69","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-27","9.17","0.01",,"0.0","0.0","76","83","68",,,,,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-28","13.87","0.00",,"0.0","0.0","77","83","71",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-29","10.51","0.00",,"0.0","0.0","75","80","70",,,,,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-30","10.96","0.00",,"0.0","0.0","77","83","71",,,,,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-10-31","13.20","0.00",,"0.0","0.0","76","82","70",,,,,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-11-01","8.95","0.07",,"0.0","0.0","73","78","68",,,,,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-11-02","7.61","3.39",,"0.0","0.0","74","82","65","    1",,"    1",,,,,,,,"    1",,,"    1",,,
